Date,Electrode,R6G (uM),UA Conc  (uM),CRN Conc (uM)
15/12/2021,Ag NPs/APTES/FTO,10,0,0 - 1000
17/12/2021,Ag NPs/APTES/FTO,10,0 - 200,0
20/12/2021,Ag NPs/APTES/FTO,10,100,0 - 1000
21/12/2021,Ag NPs/APTES/FTO,10,0 - 100,100
27/01/2022,Ag NPs/APTES/FTO,10,1,0 - 1000
02/02/2022,Ag NPs/APTES/FTO,10,2,0 - 500
07/02/2022,Ag NPs/APTES/FTO,10,5,0 - 1000
10/02/2022,Ag NPs/APTES/FTO,10,10,0 - 1000
17/02/2022,Ag NPs/APTES/FTO,10,20,0 - 1000
21/02/2022,Ag NPs/APTES/FTO,10,50,0 - 1000
24/03/2022,Ag NPs/APTES/FTO,10,100,0 -100
